"Número","Fecha (dd/mm/aa)","Nombre actividad","Costo","Presupuesto","Tiempo invertido","Tipo","Momento","No. de personas"
"96","110925","Cena","570","600","60","alimentos","noche","3"
"97","120925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"98","130925","Amazon","2600","3000","15","entretenimiento","tarde","2"
"99","140925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"100","150925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"101","160925","airpods","4500","5000","15","entretenimiento","tarde","2"
"102","170925","Oxxo ","136","200","10","alimentos","tarde","2"
"103","180925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"104","190925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"105","200925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"106","210925","cine","576","700","120","entretenimiento","tarde","4"
"107","220925","poke","257","300","25","alimentos","tarde","2"
"108","81025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"109","91025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"110","101025","Oxxo ","45","100","10","alimentos","mañana","2"
"111","111025","ahorro","1500","1500","12","Ahorros/inversión","noche","2"
"112","121025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"113","131025","café","102","120","15","alimentos","noche","2"
"114","141025","muelas del juicio","4500","5000","130","salud","tarde","2"
"115","151025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"116","161025","medicina","500","600","25","salud","tarde","2"
"117","171025","medicina","345","400","20","salud","noche","2"
"118","181025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"119","191025","café","102","200","15","alimentos","mañana","2"
"120","201025","electrolitos","67","100","15","alimentos","tarde","2"
"121","211025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"122","221025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"123","231025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"124","241025","Oxxo ","67","100","10","alimentos","tarde","2"
"125","251025","saldo","587","600","15","entretenimiento","tarde","2"
"126","261025","cine","870","900","120","entretenimiento","noche","4"
"127","11125","saldo","587","600","15","entretenimiento","tarde","2"
"128","21125","oxxo ","64","100","15","alimentos","tarde","2"
"129","31125","balón","275","300","25","entretenimiento","tarde","2"
"130","41125","pelota squash","135","200","20","entretenimiento","tarde","2"
"131","51125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"132","61125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"133","71125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"134","81125","café","102","150","15","alimentos","mañana","2"
"135","91125","cena","375","400","75","alimentos","tarde","2"
"136","101125","Oxxo ","82","100","15","alimentos","tarde","2"
"137","111125","elote","155","200","25","alimentos","noche","2"
"138","121125","saldo","587","600","15","entretenimiento","tarde","2"
"139","131125","pan","225","300","15","alimentos","tarde","2"
"140","141125","Oxxo ","75","100","15","alimentos","tarde","2"
"141","151125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"142","161125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"143","171125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"144","181125","cine","670","800","120","entretenimiento","noche","2"
"145","191125","café","102","200","30","alimentos","mañana","2"
"146","201125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"147","211125","elote","145","150","15","alimentos","noche","2"
"148","221125","gelatina","138","200","20","alimentos","tarde","3"
"149","231125","cine","565","700","120","entretenimiento","noche","3"
"150","241125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"151","","","","","","","",""
"152","","","","","","","",""
"153","","","","","","","",""
"154","","","","","","","",""
"155","","","","","","","",""
"156","","","","","","","",""
"157","","","","","","","",""
"158","","","","","","","",""
"159","","","","","","","",""
"160","","","","","","","",""
"161","","","","","","","",""
"162","","","","","","","",""
"163","","","","","","","",""
"164","","","","","","","",""
"165","","","","","","","",""
"166","","","","","","","",""
"167","","","","","","","",""
"168","","","","","","","",""
"169","","","","","","","",""
"170","","","","","","","",""
"171","","","","","","","",""
"172","","","","","","","",""
"173","","","","","","","",""
"174","","","","","","","",""
"175","","","","","","","",""
"176","","","","","","","",""
"177","","","","","","","",""
"178","","","","","","","",""
"179","","","","","","","",""
"180","","","","","","","",""
"181","","","","","","","",""
"182","","","","","","","",""
"183","","","","","","","",""
"184","","","","","","","",""
"185","","","","","","","",""
"186","","","","","","","",""
"187","","","","","","","",""
"188","","","","","","","",""
"189","","","","","","","",""
"190","","","","","","","",""
"191","","","","","","","",""
"192","","","","","","","",""
"193","","","","","","","",""
"194","","","","","","","",""
"195","","","","","","","",""
"196","","","","","","","",""
"197","","","","","","","",""
"198","","","","","","","",""
"199","","","","","","","",""
"200","","","","","","","",""
"201","","","","","","","",""
"202","","","","","","","",""
"203","","","","","","","",""
"204","","","","","","","",""
"205","","","","","","","",""
"206","","","","","","","",""
"207","","","","","","","",""
"208","","","","","","","",""
"209","","","","","","","",""
"210","","","","","","","",""
"211","","","","","","","",""
"212","","","","","","","",""
"213","","","","","","","",""
"214","","","","","","","",""
"215","","","","","","","",""
"216","","","","","","","",""
"217","","","","","","","",""
"218","","","","","","","",""
"219","","","","","","","",""
"220","","","","","","","",""
"221","","","","","","","",""
"222","","","","","","","",""
"223","","","","","","","",""
"224","","","","","","","",""
"225","","","","","","","",""
"226","","","","","","","",""
"227","","","","","","","",""
"228","","","","","","","",""
"229","","","","","","","",""
"230","","","","","","","",""
"231","","","","","","","",""
"232","","","","","","","",""
"233","","","","","","","",""
"234","","","","","","","",""
"235","","","","","","","",""
"236","","","","","","","",""
"237","","","","","","","",""
"238","","","","","","","",""
"239","","","","","","","",""
"240","","","","","","","",""
"241","","","","","","","",""
"242","","","","","","","",""
"243","","","","","","","",""
"244","","","","","","","",""
"245","","","","","","","",""
"246","","","","","","","",""
"247","","","","","","","",""
"248","","","","","","","",""
"249","","","","","","","",""
"250","","","","","","","",""
"251","","","","","","","",""
"252","","","","","","","",""
"253","","","","","","","",""
"254","","","","","","","",""
"255","","","","","","","",""
"256","","","","","","","",""
"257","","","","","","","",""
"258","","","","","","","",""
"259","","","","","","","",""
"260","","","","","","","",""
"261","","","","","","","",""
"262","","","","","","","",""
"263","","","","","","","",""
"264","","","","","","","",""
"265","","","","","","","",""
"266","","","","","","","",""
"267","","","","","","","",""
"268","","","","","","","",""
"269","","","","","","","",""
"270","","","","","","","",""
"271","","","","","","","",""
"272","","","","","","","",""
"273","","","","","","","",""
"274","","","","","","","",""
"275","","","","","","","",""
"276","","","","","","","",""
"277","","","","","","","",""
"278","","","","","","","",""
"279","","","","","","","",""
"280","","","","","","","",""
"281","","","","","","","",""
"282","","","","","","","",""
"283","","","","","","","",""
"284","","","","","","","",""
"285","","","","","","","",""
"286","","","","","","","",""
"287","","","","","","","",""
"288","","","","","","","",""
"289","","","","","","","",""
"290","","","","","","","",""
"291","","","","","","","",""
"292","","","","","","","",""
"293","","","","","","","",""
"294","","","","","","","",""
"295","","","","","","","",""
"296","","","","","","","",""
"297","","","","","","","",""
"298","","","","","","","",""
"299","","","","","","","",""
"300","","","","","","","",""
"301","","","","","","","",""
"302","","","","","","","",""
"303","","","","","","","",""
"304","","","","","","","",""
"305","","","","","","","",""
"306","","","","","","","",""
"307","","","","","","","",""
"308","","","","","","","",""
"309","","","","","","","",""
"310","","","","","","","",""
"311","","","","","","","",""
"312","","","","","","","",""
"313","","","","","","","",""
"314","","","","","","","",""
"315","","","","","","","",""
"316","","","","","","","",""
"317","","","","","","","",""
"318","","","","","","","",""
"319","","","","","","","",""
"320","","","","","","","",""
"321","","","","","","","",""
"322","","","","","","","",""
"323","","","","","","","",""
"324","","","","","","","",""
"325","","","","","","","",""
"326","","","","","","","",""
"327","","","","","","","",""
"328","","","","","","","",""
"329","","","","","","","",""
"330","","","","","","","",""
"331","","","","","","","",""
"332","","","","","","","",""
"333","","","","","","","",""
"334","","","","","","","",""
"335","","","","","","","",""
"336","","","","","","","",""
"337","","","","","","","",""
"338","","","","","","","",""
"339","","","","","","","",""
"340","","","","","","","",""
"341","","","","","","","",""
"342","","","","","","","",""
"343","","","","","","","",""
"344","","","","","","","",""
"345","","","","","","","",""
"346","","","","","","","",""
"347","","","","","","","",""
"348","","","","","","","",""
"349","","","","","","","",""
"350","","","","","","","",""
